Name,Effect
TM160,Teaches the move Hurricane.
TM161,Teaches the move Trick Room.
TM162,Teaches the move Bug Buzz.
TM163,Teaches the move Hyper Beam.
TM164,Teaches the move Brave Bird.
TM165,Teaches the move Flare Blitz.
TM166,Teaches the move Thunder.
TM167,Teaches the move Close Combat.
TM168,Teaches the move Solar Beam.
TM169,Teaches the move Draco Meteor.
TM170,Teaches the move Steel Beam.
TM171,Teaches the move Tera Blast.
TM172,Teaches the move Roar.
TM173,Teaches the move Charge.
TM174,Teaches the move Haze.
TM175,Teaches the move Toxic.
TM176,Teaches the move Sand Tomb.
TM177,Teaches the move Spite.
TM178,Teaches the move Gravity.
TM179,Teaches the move Smack Down.
TM180,Teaches the move Gyro Ball.
TM181,Teaches the move Knock Off.
TM182,Teaches the move Bug Bite.
TM183,Teaches the move Super Fang.
TM184,Teaches the move Vacuum Wave.
TM185,Teaches the move Lunge.
TM186,Teaches the move High Horsepower.
TM187,Teaches the move Icicle Spear.
TM188,Teaches the move Scald.
TM189,Teaches the move Heat Crash.
TM190,Teaches the move Solar Blade.
TM191,Teaches the move Uproar.
TM192,Teaches the move Focus Punch.
TM193,Teaches the move Weather Ball.
TM194,Teaches the move Grassy Glide.
TM195,Teaches the move Burning Jealousy.
TM196,Teaches the move Flip Turn.
TM197,Teaches the move Dual Wingbeat.
TM198,Teaches the move Poltergeist.
TM199,Teaches the move Lash Out.
TM200,Teaches the move Scale Shot.
TM201,Teaches the move Misty Explosion.
TM202,Teaches the move Pain Split.
TM203,Teaches the move Psych Up.
TM204,Teaches the move Double-Edge.
TM205,Teaches the move Endeavor.
TM206,Teaches the move Petal Blizzard.
TM207,Teaches the move Temper Flare.
TM208,Teaches the move Whirlpool.
TM209,Teaches the move Muddy Water.
TM210,Teaches the move Supercell Slam.
TM211,Teaches the move Electroweb.
TM212,Teaches the move Triple Axel.
TM213,Teaches the move Coaching.
TM214,Teaches the move Sludge Wave.
TM215,Teaches the move Scorching Sands.
TM216,Teaches the move Feather Dance.
TM217,Teaches the move Future Sight.
TM218,Teaches the move Expanding Force.
TM219,Teaches the move Skitter Smack.
TM220,Teaches the move Meteor Beam.
TM221,Teaches the move Throat Chop.
TM222,Teaches the move Breaking Swipe.
TM223,Teaches the move Metal Sound.
TM224,Teaches the move Curse.
TM225,Teaches the move Hard Press.
TM226,Teaches the move Dragon Cheer.
TM227,Teaches the move Alluring Voice.
TM228,Teaches the move Psychic Noise.
TM229,Teaches the move Upper Hand.
TMV Pass,A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.
Toedscool Flaps,"Material obtained after defeating/catching Toedscool, used in TM crafting."
Tofu,An ingredient with a touch of sweetness. It’s unclear how well this raw block of tofu will serve as a sandwich filling.
Tomato,"This very tart ingredient has a lot of savory elements to it, making it popular with many Pokémon."
Torkoal Coal,"Material obtained after defeating/catching Torkoal, used in TM crafting."
Tough Candy,Increases a Pokémon's Defense stat by 1.
Tough Candy L,Increases a Pokémon's Defense stat.
Tough Candy XL,Increases a Pokémon's Defense stat.
Toxel Sparks,"Material obtained after defeating/catching Toxel, used in TM crafting."
Toxic Orb,An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.
Toxic Plate,Increases power of Poison-type moves. Changes Arceus' type to Poison.
TR00,Teaches the move Swords Dance.
TR01,Teaches the move Body Slam.
TR02,Teaches the move Flamethrower.
TR03,Teaches the move Hydro Pump.
TR04,Teaches the move Surf.
TR05,Teaches the move Ice Beam.
TR06,Teaches the move Blizzard.
TR07,Teaches the move Low Kick.
TR08,Teaches the move Thunderbolt.
TR09,Teaches the move Thunder.
TR10,Teaches the move Earthquake.
TR11,Teaches the move Psychic.
TR12,Teaches the move Agility.
TR13,Teaches the move Focus Energy.
TR14,Teaches the move Metronome.
TR15,Teaches the move Fire Blast.
TR16,Teaches the move Waterfall.
TR17,Teaches the move Amnesia.
TR18,Teaches the move Leech Life.
TR19,Teaches the move Tri Attack.
TR20,Teaches the move Substitute.
TR21,Teaches the move Reversal.
TR22,Teaches the move Sludge Bomb.
TR23,Teaches the move Spikes.
TR24,Teaches the move Outrage.
TR25,Teaches the move Psyshock.
TR26,Teaches the move Endure.
TR27,Teaches the move Sleep Talk.
TR28,Teaches the move Megahorn.
TR29,Teaches the move Baton Pass.
TR30,Teaches the move Encore.
TR31,Teaches the move Iron Tail.
TR32,Teaches the move Crunch.
TR33,Teaches the move Shadow Ball.
TR34,Teaches the move Future Sight.
TR35,Teaches the move Uproar.
TR36,Teaches the move Heat Wave.
TR37,Teaches the move Taunt.
TR38,Teaches the move Trick.
TR39,Teaches the move Superpower.
TR40,Teaches the move Skill Swap.
TR41,Teaches the move Blaze Kick.
TR42,Teaches the move Hyper Voice.
TR43,Teaches the move Overheat.
TR44,Teaches the move Cosmic Power.
TR45,Teaches the move Muddy Water.
TR46,Teaches the move Iron Defense.
TR47,Teaches the move Dragon Claw.
TR48,Teaches the move Bulk Up.
TR49,Teaches the move Calm Mind.
TR50,Teaches the move Leaf Blade.
TR51,Teaches the move Dragon Dance.
TR52,Teaches the move Gyro Ball.
TR53,Teaches the move Close Combat.
TR54,Teaches the move Toxic Spikes.
TR55,Teaches the move Flare Blitz.
TR56,Teaches the move Aura Sphere.
TR57,Teaches the move Poison Jab.
TR58,Teaches the move Dark Pulse.
TR59,Teaches the move Seed Bomb.
TR60,Teaches the move X-Scissor.
TR61,Teaches the move Bug Buzz.
TR62,Teaches the move Dragon Pulse.
TR63,Teaches the move Power Gem.
TR64,Teaches the move Focus Blast.
TR65,Teaches the move Energy Ball.
TR66,Teaches the move Brave Bird.
TR67,Teaches the move Earth Power.
TR68,Teaches the move Nasty Plot.
TR69,Teaches the move Zen Headbutt.
TR70,Teaches the move Flash Cannon.
TR71,Teaches the move Leaf Storm.
TR72,Teaches the move Power Whip.
TR73,Teaches the move Gunk Shot.
TR74,Teaches the move Iron Head.
TR75,Teaches the move Stone Edge.
TR76,Teaches the move Stealth Rock.
TR77,Teaches the move Grass Knot.
TR78,Teaches the move Sludge Wave.
TR79,Teaches the move Heavy Slam.
TR80,Teaches the move Electro Ball.
TR81,Teaches the move Foul Play.
TR82,Teaches the move Stored Power.
TR83,Teaches the move Ally Switch.
TR84,Teaches the move Scald.
TR85,Teaches the move Work Up.
TR86,Teaches the move Wild Charge.
TR87,Teaches the move Drill Run.
TR88,Teaches the move Heat Crash.
TR89,Teaches the move Hurricane.
TR90,Teaches the move Play Rough.
TR91,Teaches the move Venom Drench.
TR92,Teaches the move Dazzling Gleam.
TR93,Teaches the move Darkest Lariat.
TR94,Teaches the move High Horsepower.
TR95,Teaches the move Throat Chop.
TR96,Teaches the move Pollen Puff.
TR97,Teaches the move Psychic Fangs.
TR98,Teaches the move Liquidation.
TR99,Teaches the move Body Press.
Tropical Shell,
Tropius Leaf,"Material obtained after defeating/catching Tropius, used in TM crafting."
Tumblestone,
Twice-Spiced Radish,
Twisted Spoon,Increases the power of Psychic-type moves.
Tynamo Slime,"Material obtained after defeating/catching Tynamo, used in TM crafting."
Tyranitarite,Enables Tyranitar to Mega Evolve during battle.
Ultra Ball,Catches wild Pokémon with 2x the rate of a Poké Ball.
Ultranecrozium Z,"Allows Ultra Necrozma to upgrade Photon Geyser to a Z-Move, Light That Burns the Sky."
Unremarkable Teacup,Evolves Poltchageist into Sinistcha.
Upgrade,Evolves Porygon when traded holding the item.
Utility Umbrella,An item to be held by a Pokémon. This sturdy umbrella protects the holder from the effects of weather.
Varoom Fume,"Material obtained after defeating/catching Varoom, used in TM crafting."
Vee-Vee Pick,"A pick designed after Eevee, sporting the Pokémon’s usual expression. It’s easy to grab by the ears, which is part of why it’s so popular."
Veluza Fillet,"Material obtained after defeating/catching Veluza, used in TM crafting."
Venonat Fang,"Material obtained after defeating/catching Venonat, used in TM crafting."
Venusaurite,Enables Venusaur to Mega Evolve during battle.
Vinegar,A very sour condiment. Vinegars derived from grapes are popular in Paldea. Highly effective when used to add just a light note of flavor.
Violet Book,"A record of the expedition that the author, Heath, went on within the Great Crater of Paldea. The book has the name “Turo” written on it in clumsy handwriting."
Vivichoke,
Voltorb Sparks,"Material obtained after defeating/catching Voltorb, used in TM crafting."
Wacan Berry,Weakens a supereffective Electric-type attack against the holding Pokémon.
Wasabi,"This very spicy condiment seems close to horseradish at first, but you’ll find that it has a superb flavor all its own."
Water Gem,Increases the power of a Water-type move only once.
Water Memory,Changes Silvally and its move Multi-Attack to Water type.
Water Stone,Evolves certain species of Pokémon.
Water Tera Shard,Changes a Pokémon's Tera Type to .
Watercress,A very bitter ingredient that stands out among veggies for its quirky flavor. People tend to either like it or not like it—they rarely sit on the fence.
Waterium Z,"Allows the use of Hydro Vortex, the Water type Z-Move."
Watmel Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Wattrel Feather,"Material obtained after defeating/catching Wattrel, used in TM crafting."
Wave Incense,Increases the power of Water-type moves. Breeding Mantine produces Mantyke when held.
Weakness Policy,Sharply raises Attack and Special Attack if hit by a super-effective move.
Wepear Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Whimsical Tablecloth,A tablecloth made in collaboration with a popular picture-book author. The gently drawn Pokémon make even the loveliest picnic table more charming.
Whipped Cream,A very sweet condiment. Folks in Paldea seem to love the varieties that really let the sweetness sing.
Whipped Dream,Evolves Swirlix when traded holding the item.
White Apricorn,A white Apricorn. It doesn't smell like anything.
White Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The white variety comes recommended by sellers.
White Flute,A toy flute made from white glass. A maniac will buy it for a high price.
White Herb,An item to be held by a POKéMON. It restores any lowered stat in battle. It can be used only once.
Wide Lens,Increases the accuracy of moves.
Wiglett Sand,"Material obtained after defeating/catching Wiglett, used in TM crafting."
Wiki Berry,"Restores HP if it's low, but may cause confusion."
Wing Ball,
Wingull Feather,"Material obtained after defeating/catching Wingull, used in TM crafting."
Winking Pika Pick,"A Pick-achu, if you will, sporting Pikachu’s winking face. It’s easy to grab by the ears, which is part of why it’s so popular."
Wise Glasses,Increases the power of Special-category moves.
Wishing Piece,Activates a Pokémon Den for a Max Raid Battle.
Wood,
Wooper Slime,"Material obtained after defeating/catching Wooper, used in TM crafting."
X Accuracy,Raises Accuracy of a Pokémon in battle.
X Accuracy 2,Sharply raises Accuracy of a Pokémon in battle.
X Accuracy 3,Drastically raises Accuracy of a Pokémon in battle.
X Accuracy 6,Immensely raises Accuracy of a Pokémon in battle.
X Attack,Raises Attack of a Pokémon in battle.
X Attack 2,Sharply raises Attack of a Pokémon in battle.
X Attack 3,Drastically raises Attack of a Pokémon in battle.
X Attack 6,Immensely raises Attack of a Pokémon in battle.
X Defense,Raises Defense of a Pokémon in battle.
X Defense 2,Sharply raises Defense of a Pokémon in battle.
X Defense 3,Drastically raises Defense of a Pokémon in battle.
X Defense 6,Immensely raises Defense of a Pokémon in battle.
X Sp. Atk,Raises Special Attack of a Pokémon in battle.
X Sp. Atk 2,Sharply raises Special Attack of a Pokémon in battle.
X Sp. Atk 3,Drastically raises Special Attack of a Pokémon in battle.
X Sp. Atk 6,Immensely raises Special Attack of a Pokémon in battle.
X Sp. Def,Raises Special Defense of a Pokémon in battle.
X Sp. Def 2,Sharply raises Special Defense of a Pokémon in battle.
X Sp. Def 3,Drastically raises Special Defense of a Pokémon in battle.
X Sp. Def 6,Immensely raises Special Defense of a Pokémon in battle.
X Speed,Raises Speed of a Pokémon in battle.
X Speed 2,Sharply raises Speed of a Pokémon in battle.
X Speed 3,Drastically raises Speed of a Pokémon in battle.
X Speed 6,Immensely raises Speed of a Pokémon in battle.
Yache Berry,Weakens a supereffective Ice-type attack against the holding Pokémon.
Yarn Ball,"A small ball of yarn. It’s woven tight so as not to unravel, but even if it were to come undone, at least you could still use the yarn for something."
Yellow Apricorn,A yellow Apricorn. It has an invigorating scent.
Yellow Bell Pepper,"An ingredient with some bitterness. It’s not much different from its red counterpart in flavor, but mixing the colors makes a feast for the eyes."
Yellow Bottle,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.
Yellow Cup,"A cup sold with the Yellow Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos."
Yellow Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The yellow variety is impossible to go wrong with.
Yellow Flute,A toy flute made from yellow glass. A maniac will buy it for a high price.
Yellow Nectar,A flower nectar obtained at Melemele Meadow. It changes the form of certain species of Pokémon.
Yellow Scarf,Raises holder's Tough aspect in a Contest.
Yellow Shard,A small yellow shard. It appears to be from some sort of implement made long ago.
Yellow Tablecloth,"A simple yellow tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
Yogurt,A condiment that’s very sweet and very sour. It goes especially well with fruit and is easy to incorporate into a sandwich.
Yungoos Fur,"Material obtained after defeating/catching Yungoos, used in TM crafting."
Zangoose Claw,"Material obtained after defeating/catching Zangoose, used in TM crafting."
Zap Plate,Increases power of Electric-type moves. Changes Arceus' type to Electric.
Zinc,Increases Special Defense EVs by 10.
Zoom Lens,Raises a move's accuracy if the holder moves after its target.
Zorua Fur,"Material obtained after defeating/catching Zorua, used in TM crafting."
